GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,"Estimate; Less than $10,000"
HD02_VD02,"Margin of Error; Less than $10,000"
HD01_VD03,"Estimate; $10,000 to $14,999"
HD02_VD03,"Margin of Error; $10,000 to $14,999"
HD01_VD04,"Estimate; $15,000 to $19,999"
HD02_VD04,"Margin of Error; $15,000 to $19,999"
HD01_VD05,"Estimate; $20,000 to $24,999"
HD02_VD05,"Margin of Error; $20,000 to $24,999"
HD01_VD06,"Estimate; $25,000 to $29,999"
HD02_VD06,"Margin of Error; $25,000 to $29,999"
HD01_VD07,"Estimate; $30,000 to $34,999"
HD02_VD07,"Margin of Error; $30,000 to $34,999"
HD01_VD08,"Estimate; $35,000 to $39,999"
HD02_VD08,"Margin of Error; $35,000 to $39,999"
HD01_VD09,"Estimate; $40,000 to $44,999"
HD02_VD09,"Margin of Error; $40,000 to $44,999"
HD01_VD10,"Estimate; $45,000 to $49,999"
HD02_VD10,"Margin of Error; $45,000 to $49,999"
HD01_VD11,"Estimate; $50,000 to $59,999"
HD02_VD11,"Margin of Error; $50,000 to $59,999"
HD01_VD12,"Estimate; $60,000 to $74,999"
HD02_VD12,"Margin of Error; $60,000 to $74,999"
HD01_VD13,"Estimate; $75,000 to $99,999"
HD02_VD13,"Margin of Error; $75,000 to $99,999"
HD01_VD14,"Estimate; $100,000 to $124,999"
HD02_VD14,"Margin of Error; $100,000 to $124,999"
HD01_VD15,"Estimate; $125,000 to $149,999"
HD02_VD15,"Margin of Error; $125,000 to $149,999"
HD01_VD16,"Estimate; $150,000 to $199,999"
HD02_VD16,"Margin of Error; $150,000 to $199,999"
HD01_VD17,"Estimate; $200,000 or more"
HD02_VD17,"Margin of Error; $200,000 or more"
